"Name","Marke","Kollektion","Zielgruppe","Oberkategorie","Typ","Stoffart","Größe","Format","Status","Link","Bild","Notizen","Modelskizze"
"Elizabeth Caftan","Gertie Patreon","Hollywood Icons","Damen","Kleid","Kleid","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elizabeth-caftan/","https://charmpatterns.com/wp-content/uploads/2025/05/HR_DSC_1720-247x296.jpg","",""
"Elsa Culottes","Gertie Patreon","Society of Charm","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/elsa-culottes/","https://charmpatterns.com/wp-content/uploads/2025/01/Look_03_265-247x296.jpg","",""
"Extra Credit Wrap Top","Gertie Patreon","Charm School","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/extra-credit-wrap-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Extra-Credit_Wrap_Top_.jpg","",""
"Field Trip Backpack","Gertie Patreon","Charm School","Damen","Taschen","Rucksack","Webware","","PDF","Vorhanden","https://charmpatterns.com/shop/field-trip-backpack/","https://charmpatterns.com/wp-content/uploads/2025/01/HR_DSC_5478-247x296.jpg","",""
"Final Exam Blazer","Gertie Patreon","Charm School","Damen","Oberteil","Jacke","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/final-exam-blazer/","https://charmpatterns.com/wp-content/uploads/2025/01/lead-with-this-one-247x296.jpg","",""
"Francie Top","Gertie Patreon","Society of Charm","Damen","Oberteil","Top","Jersey","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/francie-top/","https://charmpatterns.com/wp-content/uploads/2025/01/02_Francie_Dress_Striped-Purple_115-247x296.jpg","",""
"Frenchy Peignoir","Gertie Patreon","Charm Artist Collective","Damen","Lingerie","Nachthemd","Sonstiges","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/frenchy-peignoir-robe-and-nightie-set/","https://enibas-gh.github.io/Schnittmuster/bilder/Frenchy-Peignoir.jpg","",""
"Gardner Top","Gertie Patreon","Camp Gertie","Damen","Oberteil","Top","Spitze","2–20 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gardner-top/","https://enibas-gh.github.io/Schnittmuster/bilder/Gardner-Top.jpg","","https://enibas-gh.github.io/Schnittmuster/modelskizzen/GardnerTop_Skizze.jpg"
"Gina Bustier","Gertie Patreon","Society of Charm","Damen","Lingerie","BH","Webware","2–20 / 18–34 (A-H Cup)","PDF","Vorhanden","https://charmpatterns.com/shop/gina-bustier/","https://charmpatterns.com/wp-content/uploads/2025/01/Look_08_509-247x296.jpg","",""
"Ginger Sailor Pants","Gertie Patreon","Charm Artist Collective","Damen","Unterteil","Hose","Webware","2–20 / 18–34","PDF","Vorhanden","https://charmpatterns.com/shop/ginger-sailor-pants-and-shorts/","https://charmpatterns.com/wp-content/uploads/2025/01/Look-06_060-Web-247x296.jpg","",""
